student_id	course_id	topic_id	lesson_id	task_id	is_correct	timestamp
31fd06263e24379716f799e19399c225	010ad0d9	222068c6	96135162	647b8d855c3e154c	0	2023-08-01 10:43:15
31fd06263e24379716f799e19399c225	010ad0d9	222068c6	96135162	647b8d855c3e154c	0	2023-08-01 10:43:15
9f529db45e90de979187a8b11f627d41	010ad0d9	222068c6	96135162	647b8d855c3e154c	1	2023-08-01 13:40:56
9f529db45e90de979187a8b11f627d41	010ad0d9	222068c6	aa9f5cfe	f62e535124f89f09	1	2023-08-01 13:42:53
9f529db45e90de979187a8b11f627d41	010ad0d9	222068c6	b57a9567	9ad433537d21e394	1	2023-08-01 13:44:50
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	dc659849	17b6910b1d96b589	1	2023-08-01 13:48:39
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	dc659849	97272a41e2d70f49	1	2023-08-01 13:48:45
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	ae39f6e1	14bde8068ca76ab9	1	2023-08-01 13:50:02
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	7f69e7f7	de604e9206098524	1	2023-08-01 14:09:14
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	4f288a30	e1ee5cf1723af521	1	2023-08-01 14:14:19
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	4f288a30	019df84491c45de1	1	2023-08-01 14:14:26
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	0ec00ec9	c5a29c83fa533a83	1	2023-08-01 14:18:13
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	0ec00ec9	bb5d0ce17a300c7b	1	2023-08-01 14:18:18
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	ef0fb657	c703ce130a83e110	1	2023-08-01 14:24:41
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	b555c55d	690ad36cb58ec12b	1	2023-08-01 14:29:46
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	1d021ee9	78c146768867e125	1	2023-08-01 14:35:09
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	b3558738	8ddd6c822876fdda	1	2023-08-01 14:44:10
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	624e77cf	5963ceed5c22915d	1	2023-08-01 14:44:39
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	624e77cf	eca496f99e7329d2	1	2023-08-01 14:44:47
9f529db45e90de979187a8b11f627d41	010ad0d9	fe08aa1f	624e77cf	d48e333b828fa5ba	1	2023-08-01 14:45:09
a9b96bb87b3c0845fe35c87edbefce9a	010ad0d9	222068c6	96135162	647b8d855c3e154c	0	2023-08-02 12:25:20
a9b96bb87b3c0845fe35c87edbefce9a	010ad0d9	222068c6	aa9f5cfe	f62e535124f89f09	1	2023-08-02 12:29:54
a9b96bb87b3c0845fe35c87edbefce9a	010ad0d9	222068c6	b57a9567	9ad433537d21e394	0	2023-08-02 12:42:20
5f9dd1de585efb8bff0b578f064d0b48	010ad0d9	222068c6	96135162	647b8d855c3e154c	0	2023-08-02 13:06:51
5f9dd1de585efb8bff0b578f064d0b48	010ad0d9	222068c6	aa9f5cfe	f62e535124f89f09	0	2023-08-02 13:08:01
5f9dd1de585efb8bff0b578f064d0b48	010ad0d9	222068c6	b57a9567	9ad433537d21e394	1	2023-08-02 13:09:02
5f9dd1de585efb8bff0b578f064d0b48	010ad0d9	fe08aa1f	dc659849	17b6910b1d96b589	0	2023-08-02 13:14:09
5f9dd1de585efb8bff0b578f064d0b48	010ad0d9	fe08aa1f	dc659849	97272a41e2d70f49	1	2023-08-02 13:14:17
5f9dd1de585efb8bff0b578f064d0b48	010ad0d9	fe08aa1f	ae39f6e1	14bde8068ca76ab9	1	2023-08-02 13:14:41
a9b96bb87b3c0845fe35c87edbefce9a	010ad0d9	fe08aa1f	dc659849	17b6910b1d96b589	1	2023-08-02 14:09:28
a9b96bb87b3c0845fe35c87edbefce9a	010ad0d9	fe08aa1f	dc659849	97272a41e2d70f49	1	2023-08-02 14:09:38
a9b96bb87b3c0845fe35c87edbefce9a	010ad0d9	fe08aa1f	ae39f6e1	14bde8068ca76ab9	1	2023-08-02 14:11:23
e73493b016ade9ef7f4b32b3f59d4648	010ad0d9	222068c6	96135162	647b8d855c3e154c	1	2023-08-02 14:32:26
e73493b016ade9ef7f4b32b3f59d4648	010ad0d9	222068c6	aa9f5cfe	f62e535124f89f09	1	2023-08-02 14:44:57
e73493b016ade9ef7f4b32b3f59d4648	010ad0d9	222068c6	b57a9567	9ad433537d21e394	1	2023-08-02 14:47:54
