student_id	course_id	topic_id	lesson_id	task_id	is_correct
d8800e0cba2cf3dce798f3dd4aec441f	50a9e052	9f44ae60	3ada2f9f	d596380e58edaf48	0
d8800e0cba2cf3dce798f3dd4aec441f	50a9e052	9f44ae60	3ada2f9f	205232a29ee3585f	1
d8800e0cba2cf3dce798f3dd4aec441f	50a9e052	9f44ae60	3ada2f9f	a8597dc43bcc0e83	0
d8800e0cba2cf3dce798f3dd4aec441f	50a9e052	9f44ae60	d59bafc3	7713445fd963da0d	1
d8800e0cba2cf3dce798f3dd4aec441f	50a9e052	9f44ae60	d59bafc3	9cf4b9615e066f3a	1
d8800e0cba2cf3dce798f3dd4aec441f	50a9e052	48b34158	09544a3d	bc80d975dd59f5c8	1
d9d502b96376df4a439e3260d3c7c33c	50a9e052	9f44ae60	3ada2f9f	d596380e58edaf48	1
d9d502b96376df4a439e3260d3c7c33c	50a9e052	9f44ae60	3ada2f9f	205232a29ee3585f	1
d9d502b96376df4a439e3260d3c7c33c	50a9e052	9f44ae60	3ada2f9f	a8597dc43bcc0e83	0
d9d502b96376df4a439e3260d3c7c33c	50a9e052	9f44ae60	d59bafc3	7713445fd963da0d	1
d9d502b96376df4a439e3260d3c7c33c	50a9e052	9f44ae60	d59bafc3	9cf4b9615e066f3a	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	9f44ae60	3ada2f9f	d596380e58edaf48	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	9f44ae60	3ada2f9f	205232a29ee3585f	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	9f44ae60	3ada2f9f	a8597dc43bcc0e83	0
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	9f44ae60	d59bafc3	7713445fd963da0d	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	9f44ae60	d59bafc3	9cf4b9615e066f3a	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	09544a3d	bc80d975dd59f5c8	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	09544a3d	6e112cd18cd9e6f5	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	9d2c23fd	ae78aaf9a6063d9e	0
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	9d2c23fd	8a5886b02b23d12f	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	9d2c23fd	7c92b0f06dbc16ad	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	6415113d	3f9e36c34e17e4ec	0
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	6415113d	11ee9c47a3bfdefe	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	6415113d	f405f6013094ddff	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	7eeeea33	e17efafd8c94a73a	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	7eeeea33	8d544d9186afcc8a	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	7eeeea33	321bbcbc43afd2e2	0
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	7eeeea33	fe6fa431acf7bc7f	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	7eeeea33	5e9373fe947b881d	1
2fa5cfd1571e1e8e76150c244184d0bd	50a9e052	48b34158	7eeeea33	23a62d94529dae60	1
